hotel_unit,name,rating,date,review
GDHY,CR,9.7,2020-01-07,"Sangat dekat dengan bandara, tersedia antar jemput bandara gratis, kamar nyaman dan besar."
GDHY,Andry C.,8.2,2019-12-21,
GDHY,AM,9.1,2018-06-30,"Harga cocok dengan pengalaman menginapnya, kamar luas dan nyaman, makanan enak dan lengkap, ada tamannya walau kecil."
GDHY,G***t,6.6,2024-11-08,"Bantal tidak empuk dan tipis, bathtub kurang bersih, pas saya wifi tersambung namun akses internet tidak bisa, TV kecil dengan siaran tidak bersih, perlengkapan mandi minim"
GDHY,sri d. e.,9.1,2024-10-15,"Kamarnya luas bersih, towelnya wangi, sheet no spot. Kita dateng dijmset1 untungnya kamar sudah ready jadi bisa langsung ci, makanan enak, staf staf ramah. Masukan buat tvnya harus diganti deh karena kita nonton layarnya jelek."
GDHY,IN,6.0,2018-07-10,Kaca kamar kotor. Pembuangan air wastafel kurang lancar. Fasilitas kamar mandi seperti sisir tidak ada.
GDHY,HA,8.5,2019-11-28,"Hotel ini bagus untuk tetap bahkan kami cukup tua tapi terawat dengan baik. Satu-satunya masalah yang saya miliki adalah kartu tidak dapat siap beberapa kali oleh sensor pintu, jadi perlu beberapa waktu untuk membuka pintu kamar"
GDHY,IV,10.0,2017-04-03,"Bagus banget, recommended lah untuk yang ke jogja"
GDHY,YY,8.5,2018-01-28,"Bersih, nyaman, pelayanan yang memuaskan."
GDHY,theodoro f. w. o.,8.8,2019-06-19,Lokasi cukup strategis tapi harus memutar cukup jauh. Segala fasilitas baik dan makan pagi cukup bervariasi. Petugas hotel ramah dan harga cukup terjangkau.
GDHY,gh,8.5,2018-03-13,Pelayanan kebersihan makanan baik...makanan hanya waktu itu ada snack / makanan kecil lupa namanya sudah agak basi...sudah saya sampaikan ke kokinya langsung diambil.
GDHY,PT,8.5,2017-01-26,"Tempat yang asik pada saat tahun baruan bersama keluarga,hanya daerahnya terlalu jauh dari pusat kota"
GDHY,fp,9.4,2022-12-25,
GDHY,CS,8.4,2020-01-03,
GDHY,JS,10.0,2018-11-02,"Asiklah kalau mau makan di luar banyak kuliner tersedia didakatnya, kalau makanan di dalam asik, selisih dikitlah dengan luar tapi kan penyajiannya bagus banget."
GDHY,N,9.7,2019-02-23,"Ruangannya besar, bersih, rapi dan sangat-sangat nyaman. Petugas hotel sangat ramah dan simpatik. Makanan enak dan banyak variasi. Tempat sangat strategis."
GDHY,andy s.,9.7,2020-01-04,"Sangat memuaskan, fasilitas lengkap dan pelayanannya sangat baik, ingin lagi rasanya berlibur sama keluarga besar di tidak hotel lagi."
GDHY,Hw,10.0,2017-05-10,"Saya meninggalkan sesuatu setelah diperiksa, namun saya berhasil mengembalikan barang-barang saya karena pelayanan yang baik"
GDHY,bowo k.,8.5,2018-01-22,"Kamar luas, bersih, tenang, makanan banyak variasinya dan enak."
GDHY,Afif D. N.,9.1,2019-06-25,"Hotel ini cukup baik untuk bagi pelancong jauh ke yogya untuk menikmati kota jogja dengan desain hotel yang mewah kuno, Meski banyak ornamen-ornamen yang sudah ke kelihatan tua tapi kesan mewah tetap terjaga. Staf cukup baik dan bekerja cukup cepat."
GDHY,Veronica I. D. M.,9.7,2018-04-02,Kamar luas bersih lokasi strategis
GDHY,andra w.,5.2,2020-01-05,"Untuk ukuran kamar yang saya pesan memang besar, tapi fasilitas dan service yang diberikan kurang memuaskan, saya memesan kamar dengan permintaan double bed, 2 minggu sebelum saya check in disana, akan tetapi karena occupiednya tanggal saya check in, permintaan saya dikesampingkan sehingga saya mendapatkan kamar dengan twin bed dan saluran air mandi yang begitu payah. Mohon ditingkatkan lagi service dari GQ. Thanks"
GDHY,Bima S.,9.0,2018-06-21,"lokasi cukup strategis, check in cukup cepat. Staff cukup ramah dan helpfull. kami menginap 2 malam. Saran : 1. Wifi tidak cukup cepat. Perlu di upgrade. 2. kran air panas dan air dingin perlu diperbaiki dan diganti dengan model lebih baik. Ini penting untuk menghemat air. karena beberapa tidak berfungsi dengan baik untuk mengadjust flow air. 3. air warna agak kuning"
GDHY,Kurniadi W.,9.1,2017-06-02,"Deketa bandara, lokasi nyaman dan tenang"
GDHY,MI,8.8,2017-05-08,"Saya memilih hotel ini karena lokasinya yang strategis. Begitu masuk lobi, desain interiornya terlihat ketinggalan jaman dan membosankan, tapi setelah menginap, kenyamanan dari kebersihan dan pelayanan yang baik menutupi kekurangannya. Secara keseluruhan, saya menikmati masa tinggal saya di GQ. Tapi untuk real, interiornya perlu diperbarui"
GDHY,RA,9.7,2017-01-12,"Kamar Luas, layanan bagus, tempat parkir memadai, cuma untuk kolam renang kurang bersih"
GDHY,HC,9.7,2019-12-25,"Pesanan tiket buat ibu mertua. So far bagus, tidak ada komplain sama sekali. Thank you Traveloka."
GDHY,FP,9.1,2020-01-13,check-in sangat mudah. Kamar dapat sesuai dan ukuran cukup luas. Hotel memang lama tetapi renovasi terus berjalan dengan baik. Harga juga tidak mahal untuk bintang. 4. pasti kesini lagi kalau ke yogya.
GDHY,s***i,10.0,2024-08-13,Dari depan terlihat hotel lawas. Tapi dalamnya mantep. Recommended. Mungkin saya mau kesini lagi kalau pas ke jogja. Thanks grand diamond tks apps
GDHY,af,9.7,2018-10-07,"Bagi kami cukup nyaman, kamar mandi ada bathub, anak-anak senang, waktu pertama datang, koneksi WiFi error, tapi yang bagusnya, Pihak hotel membuat semacam selebaran dan memasukkan ke kamar melalui bawah pintu jika sedang ada masalah terkait WiFi, yang kurangnya, Untuk kolam renang lebih bagus lagi jika ditingkatkan perawatannya. Selainnya recommended."
GDHY,A***i,8.7,2024-07-14,"Lokasi bagus, proses cek in&cek out nyaman dan cepat, kolam renang sangat baik, kenyamanan menginap baik cuma pintu kamar mandi perlu diperbaiki karena tidak bisa tertutup dengan baik dan suhu AC terbaca tetap 22 meskipun set point ac 25. Setelah AC dimatikan beberapa lama baru terbaca naik menjadi 24."
GDHY,DF,10.0,2024-02-29,"Senang banget bisa bermalam di hotel ini, hotelnya bersih nyaman juga. Kesempatan bagus juga bisa nginap di sini dengan harga yang terjangkau tapi fasilitasnya setara kamar yang kelas atas. Menu sarapan variatif sampai bingung mau sarapan apa? Hehe. Pelayanan dari seluruh petugas juga ramah dan memuaskan, semoga bisa bermalam di sini lagi nantinya:)"
GDHY,SN,10.0,2024-07-10,"Puas sekali, the best dah 👍 tetap menjadi terbaik untuk pelayanan."
GDHY,S,8.5,2019-06-22,"Hotel yang sangat bersih, ramah pelayanannya dan masakannya enak. Tempatnya di pinggir jalan jogja solo. dekat bandara. dekat kemana-mana. pokoknya saya suka. siplah."
GDHY,Aloysius C. P. N.,8.5,2022-12-28,
GDHY,KD,8.5,2024-01-03,"Oke banget hotelnya, check ini cepet, pelayanan bagus. Kamar bersih, anak bisa berenang dan bermain. Breakfast aja sih rada di tambahin menunya. Tapi overall udah oke semuanya."
GDHY,WS,9.4,2019-01-13,"Menyenangkan, makanannya juga enak, pegawainya ramah-ramah dan pelayanan yang bagus."
GDHY,Nabilla U. I.,9.7,2018-11-12,"Dimulai dari pelayanannya, semua staff yang bekerja di GQ Hotel sangat ramah menyambut kedatangan saya. Dari mulai security yang membuka portal, receptionist, staff yang bertugas di bagian restaurant, dan janitors; semuanya ramah dan welcome sekali. Sistem pelayanan juga sangat cepat dan mudah, sehingga tidak perlu ribet dan lama menunggu. Kamar bersih, rapi, wangi, dan ACnya cukup dingin. Amenities yang disediakan juga lengkap, sesuai standar hotel pada umumnya. Selain itu, koneksi Wi-Fi sangat kuat dan stabil. Breakfast yang dihidangkan juga enak-enak, lengkap; ada appetizer, main course yang beragam, dessert yang pas, minumannya juga berbagai macam pilihan. Swimming poolnya bersih, jernih, dan nyaman. Ada playground untuk anak-anak juga di dekat lobi utama. Intinya, dari segi pelayanan, hidangan, fasilitas, keamanan, kenyamanan; semuanya lengkap, nyaman, bersih, dan sesuai standar yang seharusnya untuk hotel berbintang 4. Berkaca dari pengalaman saya pribadi, hampir tidak ada kekurangan dari hotel ini. Semoga ada kesempatan lagi untuk menginap di sini. Terima kasih."
GDHY,A***n,10.0,2024-06-23,"Hotel sangat okey, kamar luas nyaman, makan enak, bangunan terawat dan bersih."
GDHY,Eka M. P.,8.5,2023-02-25,Hotel ini menyediakan fasilitas yang lengkap dengan harga yang terjangkau. Bersih dan parkirnya juga luas. Stafnya juga ramah. Nyaman sekali menginap di hotel ini.
GDHY,KR,8.8,2019-08-31,"Lokasi tengah kota, dekat bandara, kamar mandi bathin, fasilitas kolam renang ada, sarapan lumayan."
GDHY,JM,9.4,2019-12-09,"Hotel ini walaupun terbilang bukan hotel baru, namun pelayanan nya sangat baik, cepat dan tanggap.. saya dan istri sangat menikmati pengalaman malam malam kami selama menginap.. mungkin sedikit masukan untuk menu sarapan yang lebih variatif, dan khusus gudeg, kreceknya pahit ya.. apa memang seperti itu aslinya.. terimakasih"
GDHY,ML,8.5,2017-01-15,"Bagus banget, super baik pelayanannya."
GDHY,HW,8.5,2018-12-18,"2 kali menginap, cukup menyenangkan."
GDHY,AN,8.5,2017-06-02,"Nyaman, kamar luas, dekat dengan bandara."
GDHY,ika P.,9.4,2019-02-18,"Ruangan yang luas, kamar mandi luas, semua bersih dan rapi, pelayanan yang baik sekali. Check-in yang mudah, ke sini pas ada renovasi jadi kadang ada suara yang mengganggu. Sayang banget petunjuk jalannya kurang, jadi sempat nyasar pas nyari kamar. Semoga tetap bisa menjadi hotel bintang yang terbaik di Jogja."
GDHY,AH,8.5,2019-09-01,"Bersih, nyaman, sarapan enak dan banyak menu."
GDHY,SP,8.5,2018-01-05,"Hotel yang bagus untuk keluarga, ruangan besar, merekomendasikan untuk menginap keluarga."
GDHY,serli o. k.,8.5,2018-11-16,"Kamarnya luas dan bersih, nyaman banget untuk yang bawa anak, makanannya juga enak-enak, top deh."
GDHY,MS,8.5,2017-02-08,"Makanan enak, pelayanan ramah, suasana cozy"
GDHY,SS,10.0,2018-07-25,Hotelnya bagus karena baru di renovasi kamarnya
GDHY,AN,8.5,2018-07-21,"Suasana temang, kamar luas, akses mudah sekat bandara, harga sesuai yang ditawarkan."
GDHY,N***a,7.6,2024-07-20,"Rambut di kamar dan kamar mandi. Cermin kotor, bak mandi. Bantal yang sangat buruk! Semuanya sudah sangat tua. Sarapannya enak. Tidak tahu cara memasak telur. Kopi itu sangat murah. Lebih baik mengatakan kualitas semua makanannya murah. Tapi itu hanya pandangan orang standar Eropa, mungkin bagi orang lokal bagus. Windows juga kotor. Tidak ada lemari pakaian. Satu potong sabun, sama dengan sikat gigi, tidak ada shower gel di dalam botol. Gym dan sauna ditutup."
GDHY,YK,9.7,2019-02-13,Hotel yang nyaman. anak-anak suka karena ada bathub.
GDHY,M***a,10.0,2024-07-09,"Bersih banget, staff nya ramah semua, makanannya juga enak” semua tapi ga banyak varianny si, tapi untuk harga sgini dapet bathtub dan udah dapet sarapan worth it bgtt si."
GDHY,Imam S.,10.0,2018-06-23,
GDHY,Nunung T.,10.0,2024-05-03,Hotel yang sangat bagus dan menyenangkan untuk tempat menginap bersama keluarga. Next semoga bisa menginap lagi di sini.
GDHY,SH,8.5,2017-11-24,Bagus nyaman makanannya enak dan bersih
GDHY,Agnes L. N. G.,9.7,2019-11-15,"Suka semua, cuma 1 tidak ada hair dryer di kamar mandi. Tapi bisa meminta ke room service, recommended bagi saya."
GDHY,FH,10.0,2017-07-12,Baik dan sangat memuaskan dan nyaman
GDHY,OA,9.4,2019-12-31,"Mantap pelayanan, kamar bersih dan makanan enak."
GDHY,BJ,9.4,2022-12-31,"Baik untuk menginap bersama keluarga seperti sebelumnya bernama ""Quality Hotel"". Namun saat ini belum dilengkapi fasilitas seperti kolam renang juga lounge."
GDHY,G,8.3,2019-02-12,Lumayan lah buat tempat istirahat.
GDHY,SR,9.7,2018-01-04,"Nyaman, kamarnya luas, free wifi."
GDHY,DF,6.3,2023-05-19,"Dari sisi kamar, toilet gak berfungsi dengan baik, ada bocor. Dan complimentary gak lengkap, terus gak ada hairdryer juga. Dari sisi sarapan juga rasa biasa aja. So far oke untuk nginep semalem."
GDHY,ya,5.7,2018-12-30,"1. Kamar sepenuhnya diarungi, namun masih berdebu. 2. Kolam renang terlalu tua dan perlu direnovasi. 3. Menu sarapan terlalu standar untuk hotel bintang 4. Biaya tambahan untuk sarapan juga terlalu mahal."
GDHY,eh,9.7,2018-07-16,Lokasi bagus dan pelayanan bagus
GDHY,BS,10.0,2024-02-08,"Hotel ini sangat bagus, makanan breakfastnya juga sangat enak."
GDHY,G,10.0,2017-05-12,"Hotel yang bagus dan nyaman, tidak jauh dari pusat kota bersih dan bersahabat."
GDHY,MM,10.0,2017-06-04,"Kurang colokan di kamar, selebihnya menyenangkan."
GDHY,JS,10.0,2018-11-04,Kamarnya sesuai gambar bersih lega juga bersih dapat view.
GDHY,MR,10.0,2018-12-01,
GDHY,RT,9.1,2024-07-07,Sedikit bising dari kendaraan di jalan tol yogya-solo.
GDHY,Christine,8.5,2019-02-10,"Ok, bagus, dekat factory outlet, kamar besar baik, hotel bagus."
GDHY,Z,9.1,2020-01-09,Hotel bersih dan cocok untuk liburan keluarga.
GDHY,DK,8.5,2019-09-22,"Kamarnya luas, jadi nyaman bawa anak-anak. Menu makanan enak. Semoga kedepannya makin variatif ya menunya. Ada puding dan slice cake begitu supaya anak-anak makin semangat. Hehehe."
GDHY,TK,9.7,2024-04-14,"Staffs Is very helpful and Room was clean and all are working properly. Food at breakfast need to be improve and need more attractive, more variation. When I was breakfast at 8.30am, the food cold and no taste at all. (I toke breakfast at Chinese Restaurant). Thank you."
GDHY,Indry M.,9.7,2018-08-08,Nyaman sekali.
GDHY,AW,9.7,2017-02-22,Nyaman and seluruh staff nya sangat membantu & ramah
GDHY,Budi A. D. S.,8.5,2023-12-17,"Cukup nyaman, ditambah lagi dengan sarapannya yang banyak menu pilihan serta pelayanan yang ramah."
GDHY,NH,9.7,2018-06-27,"Secara overall oke, hotelnya bersih dan nyaman"
GDHY,Ma,8.5,2017-07-27,"Secara umum pelayanan cukup bagus, kamar yang luas dan bersih"
GDHY,NP,10.0,2017-01-11,"Recommended banget, fasilitas komplit."
GDHY,T,9.4,2018-07-12,"Keseluruhan layanan cukup bagus dan ramah, cuma permintaan double bed saat booking lewat tidak terpenuhi dengan alasan ada yang diprioritaskan. Tidak mengerti alasan tasih. Makanan enak, tetapi fasilitas fitness/gym sedang direnovasi... Tidak bisa dipakai. Waktu turun ke lantai. Basemet area spa/gym... Kondisi area koridor tidak bersih... Banyak bekas sisa piring makanan seperti bekas malam sebelumnya tidak dibereskan"
GDHY,IP,8.8,2018-03-19,"Hotel bersih, kamar nyaman, sarapan enak, pelayanan cepat"
GDHY,MM,9.1,2017-05-15,Hotelnya bersih..wifi nya payah...
GDHY,Riana f.,5.6,2024-08-04,"Pertama masuk 303, bed nya kasur banyak rambut dan berdebu akhir bya dipindah 306 kamar mandi nya ada kecoak nya, bed bya kotor, dan ac nya ya dingin max Stay di suhu 25🫣,"
GDHY,MM,10.0,2023-07-10,Rekomendasi buat keluarga liburan.
GDHY,AM,8.5,2020-01-28,Sebenarnya ini perpanjang dari check-in sebelumnya tapi minta dikamar yang sama karena tidak mau susah tapi sayang banget sesama resepsionis komunikasin. Pagi sudah minta perpanjangan dan sudah diperpanjang kartunya siang di telfon harus extends karena sudah waktunya check-in. Overall oke lah dari sisi hotelnya.
GDHY,MY,8.5,2019-12-12,Kamarnya nyaman dan sarapannya juga enak.
GDHY,VA,9.7,2019-01-13,"Tempatnya nyaman, kamarnya bersih dan luas."
GDHY,AC,9.3,2018-06-23,"Nyaman, tapi makan kurang enak."
GDHY,TM,10.0,2017-05-22,Itu bagus. Saya senang tinggal di hotel ini.
GDHY,AD,9.1,2017-02-27,"Ini kali kedua saya menginap di GQ. Saat check in pelayanan ramah dan cepat. tapi saya kecewa ketika room yang saya pesan tidak sesuai yang saya harapkan. Saya sempat protes ke pihak receptionis, tapi tidak ada tanggapan. Sampai saya kembali turun dari lantai 7 ke bawah untuk minta ganti kamar. Setelah mendapat ganti kamar, kamar yang saya dapat juga tidak sesuai yang saya pesan, dan bathtubenya kotor dan tidak ada tutupnya. Akhirnya saya turun lagi dari lantai 5 dan menemui receptionis. Saya protes karena pada saat saya menginap pada bulan oktober lalu saya mendapat sesuai pesanan saya, kamar nyaman dan bersih, kenapa yang sekarang tidak. Untuk yang terakir akhirnya saya diantar oleh Bell boy yang malah tau mana kamar yang sesuai spek yang saya tulis di pesanan traveloka. Tolong tingkatkan profesionalitasnya dalam melayani costumer. Thanks"
GDHY,sarvony l.,10.0,2017-08-15,Memuaskan kalau ke jogja pengen menginap disini lagi
GDHY,G,9.7,2019-01-05,"Hotel sangat nyaman baik pelayanan dan roomnya luas lega, check-in check-out sangat mudah tidak susah, semoga bisa selalu istirahat di grand quality, Pertahankan kenyamanan dan pertahankan dalam jaga privasi tamu."
GDHY,CR,9.4,2018-11-08,
GDHY,ps,9.7,2017-01-27,Bagus dan profesional dan ramah
GDHY,LS,9.4,2018-04-08,"layanan bagus, kebersihan baik, sarapan enak dengan pilihan menu yang bagus."
GDHY,D***g,9.0,2024-07-05,Overall. Saya suka sekali hotelnya. Mulai dari harga dan lokasi. Terutama buat breakfast anak anak suka sekali. Staycation sangat recommended. Walaupun ada kekurangan. Tidak saya sebutkan. Kalau saya ke yogya lagi pasti saya check in lagi. Liburan keluarga buat anak 2 sangat terkesan 👍.
GDHY,M,9.7,2019-01-06,"Parkir luas, pelayanan resepsionis cepat ramah tempat strategis dekat dengan bandara dan kota."
GDHY,Defrian C. P.,9.7,2018-12-26,Stafnya sangat ramah. Kamar dan kamar mandi yang sangat bersih dan dekat dengan bandara.
GDHY,SS,9.4,2019-06-10,"Pengalaman saya menginap disini sangat nyaman sekali, kamarnya besar, dan bersih. Namun perlu ditingkatkan pelayanan bellboy saat check out."
GDHY,PH,8.5,2020-01-18,Fasilitas sesuai dengan request.
GDHY,IF,8.5,2017-07-01,"AC kamar kurang dingin, makanan kurang berasa bumbunya"
GDHY,Ma,9.4,2019-12-03,Tempatnya luas banget. Pelayanan oke cepat. Puas pokoknya. Kamar sesuai sama yang di foto.
GDHY,Mario W. P.,8.6,2017-12-30,"Hotel model lama,perlu di renovasi. pelayanan memuaskan. makanan enak."
GDHY,TK,9.0,2022-11-30,"Menikmati hotel bintang 4 yang sedang trial opening karena masih baru diakuisisi, beberapa fasilitas umum masih dalam perbaikan dan belum bisa digunakan, semoga nanti ketika sudah benar benar settled bisa lebih nyaman kembali untuk menikmati stay selama di Jogja di sini."
GDHY,S,8.5,2020-03-16,Hotel yang bersih dan nyaman. Makanannya enak. Pelayanannya cepat dan ramah. Lokasinya di pinggir jalan jogja solo. Dekat kemana-mana. Terima kasih Traveloka.
GDHY,sn,9.7,2019-01-27,"Hotelnya mewah, pelayanannya sangat baik, lumayan jauh ke Malioboro tapi worth it banget, sarapannya enak, kamar mandinya bersih. Pokoknya enak banget, hotelnya recommended."
GDHY,HM,5.7,2018-06-18,Susah dan lama banget untuk check-in.
GDHY,S,9.4,2019-12-15,"Hotel yang unik, artistik, indah dan bersejarah. Bagus sekali, telah disediakan komputer untuk berinternet ria. Saran, Kecepatan internet perlu ditingkatkan di semua bagian hotel jika ada kesempatan, ingin menginap lagi."
GDHY,TH,8.5,2019-02-04,Hotelnya bersih dan kamarnya juga bersih dan nyaman untuk beristirahat dan fasilitas sangat bagus dan karyawannya ramah dan berasa seperti keluarga. Tetap pertahankan servicenya.
GDHY,ER,8.7,2018-04-11,"Untuk level bintang 4 kebersihannya masih kurang memadai (bathup dan seprai tempat tidurnya) tapi air panasnya tidak ada gangguan setiap hari tersedia, kamarnya luas ukuran kasur king size."
GDHY,SK,8.5,2017-09-04,Hotel dengan kolam renang yang bagus dan dekat bandara
GDHY,AM,8.5,2020-01-28,"Dari segi kamar oke, luas tapi sayang spreinya warna kekuningan dan toiletnya agak error. secara keseluruhan oke sih."
GDHY,RA,10.0,2018-04-30,"Suasananya bikin betah, ruangan bersih, cuma karena mungkin hotel lama jadi kondisi barang-barang dikamar cenderung lama juga ya, makanan enak. Btw overall menyenangkan menginap disana."
GDHY,Hartoyo,8.5,2018-12-24,Nyaman bersih makanan enak pokoknya recommended.
GDHY,abimanyu w.,9.7,2024-06-29,"Hotel yang cocok untuk menginap bersama keluarga yang berencana untuk eksplore luar kota seperti parangtritis, borobudur, prambanan dan tempat lainya. Akses ke malioboro ada gojek/grab yang siap mengantar. Staf yang ramah, ruangan bersih dan nyaman."
GDHY,AS,10.0,2024-04-25,"Kamarnya luas dan bagus, sayangnya kamar mandinya saluran airnya agak mampet, pelayannya ramah-2. Tp intinya puaslah nginap di hotel ini"
GDHY,P,9.7,2024-07-18,Kamar tidur yang bersih dan luas. Staf yang ramah selama kami tinggal.
GDHY,Y***a,8.5,2024-07-25,"Lokasi sangat strategis, ukuran kamar juga luas. Cocok untuk menginap keluarga."
GDHY,tt,8.8,2017-01-16,kedua kalinya ke sini pas high season. cukup memuaskan dengan fasilitas dan pelayanannya
GDHY,Dwi P.,10.0,2020-01-12,"Untuk makanannya rasanya diperbaiki lagi tastenya biar makin ciamik, sebelumnya sih sudah lumayan juga kok, untuk kamar bersih, Pelayanan kamar setiap hari di bersihkan dan dirapikan, sesuai permintaan atau nanti dari room servicenya pasti tanya good job, AC dingin, Parkiran enak luas tapi ke malioboro rada lumayan sih macetnya tapi tidak apa apa lah, kolam renang bersih juga, Saya kesini waktu tahun baru bersama keluarga, liburan yang menyenangkan, terima kasih tidak yogya."
GDHY,vy,10.0,2023-01-27,
GDHY,PM,10.0,2019-02-08,"GQ Hotel di Yogyakarta adalah satu-satunya hotel yang menggabungkan kualitas, nilai uang, kamar besar dan lokasi strategis menjadi satu paket. Saya sudah mencoba sisanya, tetapi ini yang terbaik. Sangat dianjurkan."
GDHY,as,9.7,2018-01-06,Menginap di hotel grand quality sangat memuaskan. makan paginya enak sekali menunya macam2.
GDHY,TT,9.7,2019-01-22,"Kamarnya luas, kamar mandi bersih. Anak-anak senang ada di hotel tidak. Makanannya enak. Lokasi dekat kemana-mana. Service benar-benar memuaskan. Excellent. Setiap ke Jogja saya akan menginap di tidak hotel."
GDHY,mr,9.4,2024-06-05,Suasanya nyaman dan ramah buat keluarga.
GDHY,J***i,8.5,2024-05-23,Overall ok. Resepsionis malam sesuai SOP tapi kurang ramah dan senyum aja.
GDHY,ra,8.5,2019-03-20,"Hotel ini harga fleksibel dan interior serta fasilitasnya mewah. Sampai dengan jam 11 malam, di lounge hotel ada group live musik yang dapat menyanyikan request lagu dari pengunjung, dan/atau bahkan pengunjung dapat menyanyi diiringi group tersebut. Interior kamar sangat bagus dan mewah, kedap suara, lantai full karpet, kamar mandi sangat bersih. Kolam renang sangat bagus dan terkesan private facility. Restoran juga sangat bagus dan mewah, waiter/waitressnya sangat ramah, dan yang terakhir, dekat dengan Airport Adisucipto (kurang lebih 1 km)."
GDHY,S***a,9.4,2024-05-24,"Nyaman banget staycation di grand diamond, makanan enak, fasilitas juga lengkap. Hotel bintang 4 fasilitas lengkap harga ramah di kantong"
GDHY,md,10.0,2017-07-01,"Hotel bagus, bersih, pelayanan ramah dan baik, fasilitas lengkap, dekat bandara, pas buat liburan."
GDHY,MH,8.5,2018-11-25,
GDHY,RD,10.0,2019-01-03,"Lokasi bagus, tempat parkir luas. Ruangan bersih. Sarapan yang enak."
GDHY,AD,6.2,2018-06-18,Layout kamar tidak sesuai dengan gambar di iklannya Traveloka. Lobby kamar kotor banget.
GDHY,SI,8.7,2019-01-28,"Hotel lama terlihat dari furnitur di kamarnya sudah tua seperti di kamar mandinya juga. Pengalaman kemarin menginap dengan harga itu, worth it karena kamarnya luas."
GDHY,DY,8.5,2019-01-29,Buat saya pribadi sudah cocoknya good lah.
GDHY,PN,8.5,2018-10-26,"Kamar luas. Pertama kali masuk ke kamar kesannya spooky, karena perabotnya lumayan jadul, tapi lama lama biasa saja. Kolam renangnya enak, sarapan biasa. Untuk kamar mandi, kesannya seperti tidak pernah dibersihin, bagian shower perlu perawatan lebih."
